site,name_locus,country,method,context,length,width,depth,date,date2,functions,reference,rec_updated
Sepphoris,n.a.,Israel,Excavation,Domestic.Courtyard house,1.1,1,,,,,"*** Waterman. 1937. Preliminary Report of the University of Michigan Excavations at Sepphoris, Palestine, in 1931., p. 5, Fig. 2, 31-34 *** Strange, Longstaff, Groh. 2006. Excavations at Sepphoris, Volume I: University of South Florida Probes in the Citadel and Villa., p. 75 *** Adler. 2011. The Archaeology of Purity: Archaeological Evidence for the Observance of Ritual Purity in Erez-Israel from the Hasmonean Period until the End of the Talmudic Era (164 BCE â 400 CE). BIU: Bar-Ilan University, p. 322 no. 40",10/01/17 02:21
Sepphoris,SP01,Israel,Excavation,Military complex,5,2,1,,,,"*** Meyers. Sepphoris on the Eve of the Great Revolt (67â68 C.E): Archaeology and Josephus, in: Galilee through the Centuries: Confluence of Cultures. Meyers, Eric M. (Prof), 1999, p. 110, 120-21 *** Galor. The Stepped Water Installations of the Sepphoris Acropolis, in: The Archaeology of Difference. Gender, ethnicity, class and the ""other"" in antiquity. Studies in honor of Eric M. Meyers. Edwards, Douglas (Prof), McCollough, C. Thomas (Prof), 2007, p. 206, Fig. 1:SP1, Fig. 2 *** Adler. 2011. The Archaeology of Purity: Archaeological Evidence for the Observance of Ritual Purity in Erez-Israel from the Hasmonean Period until the End of the Talmudic Era (164 BCE â 400 CE). BIU: Bar-Ilan University, p. 322 no. 51 *** Meyers, Meyers, Hoglund. 1995. Sepphoris (Sippori), 1994, Israel Exploration Journal 45, 68-71., p. 68 *** Meyers, Meyers, Hoglund. 1997. Sepphoris (Sippori), 1996, Israel Exploration Journal 47, 264-268., p. 265 *** Meyers, Meyers, Hoglund. 1998. Sepphoris (Sippori), 1997, Israel Exploration Journal 48, 278-281., p. 279 *** Meyers. The Early Roman Period at Sepphoris: Chronological, Archaeological, Literary and Social Considerations, in: Hesed Ve-Emet, Studies in Honor of Ernest S. Frerichs. Magness, Jodi (Prof), Gitin, Seymour (Prof), 1998, p. 347",10/01/17 02:21
Sepphoris,SP02 (L85.3226),Israel,Excavation,Military complex,2,2,1.5,,,,"*** Meyers, Meyers, Hoglund. 1995. Sepphoris (Sippori), 1994, Israel Exploration Journal 45, 68-71., p. 68 *** Meyers, Meyers, Hoglund. 1997. Sepphoris (Sippori), 1996, Israel Exploration Journal 47, 264-268., p. 265 *** Meyers. The Early Roman Period at Sepphoris: Chronological, Archaeological, Literary and Social Considerations, in: Hesed Ve-Emet, Studies in Honor of Ernest S. Frerichs. Magness, Jodi (Prof), Gitin, Seymour (Prof), 1998, p. 347 *** Meyers, Meyers, Hoglund. 1998. Sepphoris (Sippori), 1997, Israel Exploration Journal 48, 278-281., p. 279-80 *** Meyers. Sepphoris on the Eve of the Great Revolt (67â68 C.E): Archaeology and Josephus, in: Galilee through the Centuries: Confluence of Cultures. Meyers, Eric M. (Prof), 1999, p. 110, 120-21 *** Galor. The Stepped Water Installations of the Sepphoris Acropolis, in: The Archaeology of Difference. Gender, ethnicity, class and the ""other"" in antiquity. Studies in honor of Eric M. Meyers. Edwards, Douglas (Prof), McCollough, C. Thomas (Prof), 2007, p. 206, Fig. 1:SP2, Fig. 3 *** Adler. 2011. The Archaeology of Purity: Archaeological Evidence for the Observance of Ritual Purity in Erez-Israel from the Hasmonean Period until the End of the Talmudic Era (164 BCE â 400 CE). BIU: Bar-Ilan University, p. 322 no. 52",10/01/17 02:21
Sepphoris,SP03,Israel,Excavation,Military complex,2.5,2.5,2,,,,"*** Meyers. Sepphoris on the Eve of the Great Revolt (67â68 C.E): Archaeology and Josephus, in: Galilee through the Centuries: Confluence of Cultures. Meyers, Eric M. (Prof), 1999, p. 110, 120-21 *** Galor. The Stepped Water Installations of the Sepphoris Acropolis, in: The Archaeology of Difference. Gender, ethnicity, class and the ""other"" in antiquity. Studies in honor of Eric M. Meyers. Edwards, Douglas (Prof), McCollough, C. Thomas (Prof), 2007, p. 206, Fig. 1:SP3, Fig. 4 *** Adler. 2011. The Archaeology of Purity: Archaeological Evidence for the Observance of Ritual Purity in Erez-Israel from the Hasmonean Period until the End of the Talmudic Era (164 BCE â 400 CE). BIU: Bar-Ilan University, p. 322 no. 53 *** Meyers, Meyers, Hoglund. 1995. Sepphoris (Sippori), 1994, Israel Exploration Journal 45, 68-71., p. 68 *** Meyers, Meyers, Hoglund. 1997. Sepphoris (Sippori), 1996, Israel Exploration Journal 47, 264-268., p. 265 *** Meyers, Meyers, Hoglund. 1998. Sepphoris (Sippori), 1997, Israel Exploration Journal 48, 278-281., p. 279 *** Meyers. The Early Roman Period at Sepphoris: Chronological, Archaeological, Literary and Social Considerations, in: Hesed Ve-Emet, Studies in Honor of Ernest S. Frerichs. Magness, Jodi (Prof), Gitin, Seymour (Prof), 1998, p. 347",10/01/17 02:21
Sepphoris,SP04,Israel,Excavation,Domestic,,,,,,,"*** Meyers, Meyers, Hoglund. 1995. Sepphoris (Sippori), 1994, Israel Exploration Journal 45, 68-71., p. 68-70 *** Grantham. 1996. Sepphoris: Ethnic Complexity at an Ancient Galilean City. Northwestern University, p. 97-98 *** Galor. The Stepped Water Installations of the Sepphoris Acropolis, in: The Archaeology of Difference. Gender, ethnicity, class and the ""other"" in antiquity. Studies in honor of Eric M. Meyers. Edwards, Douglas (Prof), McCollough, C. Thomas (Prof), 2007, p. 206, Fig. 1:SP4, Fig. 5 *** Adler. 2011. The Archaeology of Purity: Archaeological Evidence for the Observance of Ritual Purity in Erez-Israel from the Hasmonean Period until the End of the Talmudic Era (164 BCE â 400 CE). BIU: Bar-Ilan University, p. 322 no. 54 *** Meyers, Meyers, Hoglund. 1994. Sepphoris (Sippori), 1993, Israel Exploration Journal 44, 247-250., p. 249-50 *** Meyers, Meyers, Hoglund. 1998. Sepphoris (Sippori), 1997, Israel Exploration Journal 48, 278-281., p. 265 *** Hoglund, Meyers. The Residential Quarter on the Western Summit, in: Sepphoris in Galilee. Crosscurrents of Culture. Nagy, Rebecca M., Meyers, Carol L., Meyers, Eric M., Weiss, Zeev, 1996, p. 40",10/01/17 02:21
Sepphoris,SP05,Israel,Excavation,Domestic,,,,,,,"*** Meyers, Meyers, Hoglund. 1995. Sepphoris (Sippori), 1994, Israel Exploration Journal 45, 68-71., p. 68-70 *** Grantham. 1996. Sepphoris: Ethnic Complexity at an Ancient Galilean City. Northwestern University, p. 97-98 *** Galor. The Stepped Water Installations of the Sepphoris Acropolis, in: The Archaeology of Difference. Gender, ethnicity, class and the ""other"" in antiquity. Studies in honor of Eric M. Meyers. Edwards, Douglas (Prof), McCollough, C. Thomas (Prof), 2007, p. 206, Fig. 1:SP5 *** Adler. 2011. The Archaeology of Purity: Archaeological Evidence for the Observance of Ritual Purity in Erez-Israel from the Hasmonean Period until the End of the Talmudic Era (164 BCE â 400 CE). BIU: Bar-Ilan University, p. 322 no. 55 *** Meyers, Meyers, Hoglund. 1994. Sepphoris (Sippori), 1993, Israel Exploration Journal 44, 247-250., p. 249-50 *** Meyers, Meyers, Hoglund. 1998. Sepphoris (Sippori), 1997, Israel Exploration Journal 48, 278-281., p. 265 *** Hoglund, Meyers. The Residential Quarter on the Western Summit, in: Sepphoris in Galilee. Crosscurrents of Culture. Nagy, Rebecca M., Meyers, Carol L., Meyers, Eric M., Weiss, Zeev, 1996, p. 40",10/01/17 02:21
Sepphoris,SP06,Israel,Excavation,Domestic,,,,,,,"*** Galor. The Stepped Water Installations of the Sepphoris Acropolis, in: The Archaeology of Difference. Gender, ethnicity, class and the ""other"" in antiquity. Studies in honor of Eric M. Meyers. Edwards, Douglas (Prof), McCollough, C. Thomas (Prof), 2007, p. 206, Fig. 1:SP6 *** Adler. 2011. The Archaeology of Purity: Archaeological Evidence for the Observance of Ritual Purity in Erez-Israel from the Hasmonean Period until the End of the Talmudic Era (164 BCE â 400 CE). BIU: Bar-Ilan University, p. 322 no. 56 *** Meyers. Sepphoris, in: The Oxford Encyclopedia of Archaeology in the Near East IV. Meyers, Eric M., 1997, p. 531",10/01/17 02:21
Sepphoris,SP07,Israel,Excavation,Unknown,,,,,,,"*** Meyers, Meyers, Netzer. 1985. Sepphoris (Sippori), 1985 (I), Israel Exploration Journal 35, 295-297., p. 296 *** Meyers, Netzer, Meyers. 1987. Sepphoris (Sippori), 1986 (I) -- Joint Sepphoris Project, Israel Exploration Journal 37, 275-278., p. 276 *** Galor. The Stepped Water Installations of the Sepphoris Acropolis, in: The Archaeology of Difference. Gender, ethnicity, class and the ""other"" in antiquity. Studies in honor of Eric M. Meyers. Edwards, Douglas (Prof), McCollough, C. Thomas (Prof), 2007, p. 206, Fig. 1:SP7 *** Adler. 2011. The Archaeology of Purity: Archaeological Evidence for the Observance of Ritual Purity in Erez-Israel from the Hasmonean Period until the End of the Talmudic Era (164 BCE â 400 CE). BIU: Bar-Ilan University, p. 322 no. 57 *** Meyers. Sepphoris, in: The Oxford Encyclopedia of Archaeology in the Near East IV. Meyers, Eric M., 1997, p. 531",10/01/17 02:21
Sepphoris,SP08 (L84.1209?),Israel,Excavation,Domestic.Courtyard house,3.5,1.5,2.00-3.00,,,,"*** Rutgers. Some Reflections on the Archaeological Finds from the Domestic Quarter on the Acropolis of Sepphoris, in: Religious and Ethnic Communities in Later Roman Palestine. Lapin, Hayim, 1998, p. 181-82, 190 *** Rutgers. Incense shovels at Sepphoris?, in: Galilee through the Centuries: Confluence of Cultures. Meyers, Eric M. (Prof), 1999, p. 191 *** Meyers. The Ceramic Incense Shovels from Sepphoris: Another View, in: ""I will speak the riddles of ancient times."" archaeological and historical studies in honor of Amihai Mazar on the occasion of his sixtieth birthday. Maeir, Aren M., de Miroschedji, Pierre R., 2006, p. 867, Fig. 3:O, Fig. 5:3 *** Galor. The Stepped Water Installations of the Sepphoris Acropolis, in: The Archaeology of Difference. Gender, ethnicity, class and the ""other"" in antiquity. Studies in honor of Eric M. Meyers. Edwards, Douglas (Prof), McCollough, C. Thomas (Prof), 2007, p. 206, Fig. 1:SP8, Fig. 7 *** Adler. 2011. The Archaeology of Purity: Archaeological Evidence for the Observance of Ritual Purity in Erez-Israel from the Hasmonean Period until the End of the Talmudic Era (164 BCE â 400 CE). BIU: Bar-Ilan University, p. 322 no. 58 *** Balouka. Roman pottery, in: The pottery from ancient Sepphoris. Meyers, Eric M., Meyers, Carol L., 2013, p. pls. 14:1, 16:11,12; 23:5; 25:6; 34:2",10/01/17 02:21
Sepphoris,SP10,Israel,Excavation,Domestic.Courtyard house,,,,,,,"*** Rutgers. Some Reflections on the Archaeological Finds from the Domestic Quarter on the Acropolis of Sepphoris, in: Religious and Ethnic Communities in Later Roman Palestine. Lapin, Hayim, 1998, p. 181-82, 190 *** Meyers. The Ceramic Incense Shovels from Sepphoris: Another View, in: ""I will speak the riddles of ancient times."" archaeological and historical studies in honor of Amihai Mazar on the occasion of his sixtieth birthday. Maeir, Aren M., de Miroschedji, Pierre R., 2006, p. 867, Fig. 3:L *** Galor. The Stepped Water Installations of the Sepphoris Acropolis, in: The Archaeology of Difference. Gender, ethnicity, class and the ""other"" in antiquity. Studies in honor of Eric M. Meyers. Edwards, Douglas (Prof), McCollough, C. Thomas (Prof), 2007, p. 206, Fig. 1:SP10, Fig. 6 *** Adler. 2011. The Archaeology of Purity: Archaeological Evidence for the Observance of Ritual Purity in Erez-Israel from the Hasmonean Period until the End of the Talmudic Era (164 BCE â 400 CE). BIU: Bar-Ilan University, p. 322 no. 60",10/01/17 02:21
Sepphoris,SP11,Israel,Excavation,Domestic.Uncertain,,,,,,,"*** Rutgers. Some Reflections on the Archaeological Finds from the Domestic Quarter on the Acropolis of Sepphoris, in: Religious and Ethnic Communities in Later Roman Palestine. Lapin, Hayim, 1998, p. 181-82, 190 *** Rutgers. Incense shovels at Sepphoris?, in: Galilee through the Centuries: Confluence of Cultures. Meyers, Eric M. (Prof), 1999, p. 191 *** Meyers. The Ceramic Incense Shovels from Sepphoris: Another View, in: ""I will speak the riddles of ancient times."" archaeological and historical studies in honor of Amihai Mazar on the occasion of his sixtieth birthday. Maeir, Aren M., de Miroschedji, Pierre R., 2006, p. 867 *** Galor. The Stepped Water Installations of the Sepphoris Acropolis, in: The Archaeology of Difference. Gender, ethnicity, class and the ""other"" in antiquity. Studies in honor of Eric M. Meyers. Edwards, Douglas (Prof), McCollough, C. Thomas (Prof), 2007, p. 206, Fig. 1:SP11 *** Adler. 2011. The Archaeology of Purity: Archaeological Evidence for the Observance of Ritual Purity in Erez-Israel from the Hasmonean Period until the End of the Talmudic Era (164 BCE â 400 CE). BIU: Bar-Ilan University, p. 322 no. 61",10/01/17 02:21
Sepphoris,SP12,Israel,Excavation,Domestic,,,,/,,"*** Ritual bath / Miqveh, from / to /","*** Rutgers. Some Reflections on the Archaeological Finds from the Domestic Quarter on the Acropolis of Sepphoris, in: Religious and Ethnic Communities in Later Roman Palestine. Lapin, Hayim, 1998, p. 181-82, 190 *** Rutgers. Incense shovels at Sepphoris?, in: Galilee through the Centuries: Confluence of Cultures. Meyers, Eric M. (Prof), 1999, p. 191 *** Meyers. The Ceramic Incense Shovels from Sepphoris: Another View, in: ""I will speak the riddles of ancient times."" archaeological and historical studies in honor of Amihai Mazar on the occasion of his sixtieth birthday. Maeir, Aren M., de Miroschedji, Pierre R., 2006, p. 867 *** Galor. The Stepped Water Installations of the Sepphoris Acropolis, in: The Archaeology of Difference. Gender, ethnicity, class and the ""other"" in antiquity. Studies in honor of Eric M. Meyers. Edwards, Douglas (Prof), McCollough, C. Thomas (Prof), 2007, p. 206, Fig. 1:SP12 *** Adler. 2011. The Archaeology of Purity: Archaeological Evidence for the Observance of Ritual Purity in Erez-Israel from the Hasmonean Period until the End of the Talmudic Era (164 BCE â 400 CE). BIU: Bar-Ilan University, p. 322 no. 62",10/01/17 02:21
Sepphoris,SP13,Israel,Excavation,Domestic.Courtyard house,,,,2.884615385,200/300,"*** Ritual bath / Miqveh, from -75/-26 to 26/100 *** Storage, from 26/100 to 200/300","*** Meyers, Meyers, Hoglund. 1995. Sepphoris (Sippori), 1994, Israel Exploration Journal 45, 68-71., p. 70 *** Galor. The Stepped Water Installations of the Sepphoris Acropolis, in: The Archaeology of Difference. Gender, ethnicity, class and the ""other"" in antiquity. Studies in honor of Eric M. Meyers. Edwards, Douglas (Prof), McCollough, C. Thomas (Prof), 2007, p. 206, Fig. 1:SP13 *** Adler. 2011. The Archaeology of Purity: Archaeological Evidence for the Observance of Ritual Purity in Erez-Israel from the Hasmonean Period until the End of the Talmudic Era (164 BCE â 400 CE). BIU: Bar-Ilan University, p. 322 no. 63",10/01/17 02:21
Sepphoris,SP14,Israel,Excavation,Unknown,,,,1/100,301/400,"*** Ritual bath / Miqveh, from 1/100 to / *** Storage, from / to 301/400","*** Meyers, Meyers, Netzer. 1985. Sepphoris (Sippori), 1985 (I), Israel Exploration Journal 35, 295-297., p. 296 *** Meyers, Netzer, Meyers. 1987. Sepphoris (Sippori), 1986 (I) -- Joint Sepphoris Project, Israel Exploration Journal 37, 275-278., p. 276 *** Meyers, Netzer, Meyers. 1990. Sepphoris (Sippori), 1987 and 1988, Israel Exploration Journal 40, 219-222., p. 220 *** Galor. The Stepped Water Installations of the Sepphoris Acropolis, in: The Archaeology of Difference. Gender, ethnicity, class and the ""other"" in antiquity. Studies in honor of Eric M. Meyers. Edwards, Douglas (Prof), McCollough, C. Thomas (Prof), 2007, p. Fig. 1:SP14 *** Adler. 2011. The Archaeology of Purity: Archaeological Evidence for the Observance of Ritual Purity in Erez-Israel from the Hasmonean Period until the End of the Talmudic Era (164 BCE â 400 CE). BIU: Bar-Ilan University, p. 322 no. 64",10/01/17 02:21
Sepphoris,SP15,Israel,Excavation,Unknown,,,,1/100,301/400,"*** Ritual bath / Miqveh, from 1/100 to / *** Storage, from / to 301/400","*** Meyers, Meyers, Netzer. 1985. Sepphoris (Sippori), 1985 (I), Israel Exploration Journal 35, 295-297., p. 296 *** Meyers, Netzer, Meyers. 1987. Sepphoris (Sippori), 1986 (I) -- Joint Sepphoris Project, Israel Exploration Journal 37, 275-278., p. 276 *** Meyers, Netzer, Meyers. 1990. Sepphoris (Sippori), 1987 and 1988, Israel Exploration Journal 40, 219-222., p. 220 *** Galor. The Stepped Water Installations of the Sepphoris Acropolis, in: The Archaeology of Difference. Gender, ethnicity, class and the ""other"" in antiquity. Studies in honor of Eric M. Meyers. Edwards, Douglas (Prof), McCollough, C. Thomas (Prof), 2007, p. Fig. 1:SP15 *** Adler. 2011. The Archaeology of Purity: Archaeological Evidence for the Observance of Ritual Purity in Erez-Israel from the Hasmonean Period until the End of the Talmudic Era (164 BCE â 400 CE). BIU: Bar-Ilan University, p. 322 no. 65",10/01/17 02:21
Sepphoris,SP16,Israel,Excavation,Unknown,,,,1/100,301/400,"*** Ritual bath / Miqveh, from 1/100 to / *** Storage, from / to 301/400","*** Meyers, Meyers, Netzer. 1985. Sepphoris (Sippori), 1985 (I), Israel Exploration Journal 35, 295-297., p. 296 *** Meyers, Netzer, Meyers. 1987. Sepphoris (Sippori), 1986 (I) -- Joint Sepphoris Project, Israel Exploration Journal 37, 275-278., p. 276 *** Meyers, Netzer, Meyers. 1990. Sepphoris (Sippori), 1987 and 1988, Israel Exploration Journal 40, 219-222., p. 220 *** Galor. The Stepped Water Installations of the Sepphoris Acropolis, in: The Archaeology of Difference. Gender, ethnicity, class and the ""other"" in antiquity. Studies in honor of Eric M. Meyers. Edwards, Douglas (Prof), McCollough, C. Thomas (Prof), 2007, p. Fig. 1:SP16 *** Adler. 2011. The Archaeology of Purity: Archaeological Evidence for the Observance of Ritual Purity in Erez-Israel from the Hasmonean Period until the End of the Talmudic Era (164 BCE â 400 CE). BIU: Bar-Ilan University, p. 322 no. 66",10/01/17 02:21
Sepphoris,SP17,Israel,Excavation,Unknown,,,,1/100,301/400,"*** Ritual bath / Miqveh, from 1/100 to / *** Storage, from / to 301/400","*** Meyers, Meyers, Netzer. 1985. Sepphoris (Sippori), 1985 (I), Israel Exploration Journal 35, 295-297., p. 296 *** Meyers, Netzer, Meyers. 1987. Sepphoris (Sippori), 1986 (I) -- Joint Sepphoris Project, Israel Exploration Journal 37, 275-278., p. 276 *** Meyers, Netzer, Meyers. 1990. Sepphoris (Sippori), 1987 and 1988, Israel Exploration Journal 40, 219-222., p. 220 *** Galor. The Stepped Water Installations of the Sepphoris Acropolis, in: The Archaeology of Difference. Gender, ethnicity, class and the ""other"" in antiquity. Studies in honor of Eric M. Meyers. Edwards, Douglas (Prof), McCollough, C. Thomas (Prof), 2007, p. Fig. 1:SP17 *** Adler. 2011. The Archaeology of Purity: Archaeological Evidence for the Observance of Ritual Purity in Erez-Israel from the Hasmonean Period until the End of the Talmudic Era (164 BCE â 400 CE). BIU: Bar-Ilan University, p. 322 no. 67",10/01/17 02:21
Sepphoris,SP18,Israel,Excavation,Unknown,,,,,,,,10/01/17 02:21
Sepphoris,SP19,Israel,Excavation,Unknown,,,,,,,,10/01/17 02:21
Sepphoris,SP20,Israel,Excavation,Unknown,,,,,,,,10/01/17 02:21
Sepphoris,SP21,Israel,Excavation,Unknown,,,,,,,"*** Galor. The Stepped Water Installations of the Sepphoris Acropolis, in: The Archaeology of Difference. Gender, ethnicity, class and the ""other"" in antiquity. Studies in honor of Eric M. Meyers. Edwards, Douglas (Prof), McCollough, C. Thomas (Prof), 2007, p. 211 n. 1 *** Adler. 2011. The Archaeology of Purity: Archaeological Evidence for the Observance of Ritual Purity in Erez-Israel from the Hasmonean Period until the End of the Talmudic Era (164 BCE â 400 CE). BIU: Bar-Ilan University, p. 322 no. 73",10/01/17 02:21
Sepphoris,SP22,Israel,Excavation,Unknown,,,,,,,"*** Reich. 2002. They Are Ritual Baths: immerse yourself in the ongoing Sepphoris mikveh debate, Biblical Archaeology Review 28, 50-55., p. 50 *** Galor. The Stepped Water Installations of the Sepphoris Acropolis, in: The Archaeology of Difference. Gender, ethnicity, class and the ""other"" in antiquity. Studies in honor of Eric M. Meyers. Edwards, Douglas (Prof), McCollough, C. Thomas (Prof), 2007, p. 211 n. 1 *** Adler. 2011. The Archaeology of Purity: Archaeological Evidence for the Observance of Ritual Purity in Erez-Israel from the Hasmonean Period until the End of the Talmudic Era (164 BCE â 400 CE). BIU: Bar-Ilan University, p. 322 no. 71",10/01/17 02:21
Sepphoris,SP23,Israel,Excavation,Unknown,,,,,,,"*** Reich. 2002. They Are Ritual Baths: immerse yourself in the ongoing Sepphoris mikveh debate, Biblical Archaeology Review 28, 50-55., p. 50 *** Galor. The Stepped Water Installations of the Sepphoris Acropolis, in: The Archaeology of Difference. Gender, ethnicity, class and the ""other"" in antiquity. Studies in honor of Eric M. Meyers. Edwards, Douglas (Prof), McCollough, C. Thomas (Prof), 2007, p. 211 n. 1 *** Adler. 2011. The Archaeology of Purity: Archaeological Evidence for the Observance of Ritual Purity in Erez-Israel from the Hasmonean Period until the End of the Talmudic Era (164 BCE â 400 CE). BIU: Bar-Ilan University, p. 322 no. 71",10/01/17 02:21
Sepphoris,C216,Israel,Excavation,Domestic.Courtyard house,3.2,1.8,,2.884615385,/,"*** Ritual bath / Miqveh.Uncertain, from -75/-26 to 101/300 *** Storage, from 101/300 to /","*** Strange, Longstaff, Groh. 2006. Excavations at Sepphoris, Volume I: University of South Florida Probes in the Citadel and Villa., p. 75, 88-92, 104-5, 121",10/01/17 02:21
Sepphoris,SP09,Israel,Excavation,Domestic.Courtyard house,,,,,,,"*** Rutgers. Some Reflections on the Archaeological Finds from the Domestic Quarter on the Acropolis of Sepphoris, in: Religious and Ethnic Communities in Later Roman Palestine. Lapin, Hayim, 1998, p. 181-82, 190 *** Meyers. The Ceramic Incense Shovels from Sepphoris: Another View, in: ""I will speak the riddles of ancient times."" archaeological and historical studies in honor of Amihai Mazar on the occasion of his sixtieth birthday. Maeir, Aren M., de Miroschedji, Pierre R., 2006, p. 867-88, Fig. 3:J *** Galor. The Stepped Water Installations of the Sepphoris Acropolis, in: The Archaeology of Difference. Gender, ethnicity, class and the ""other"" in antiquity. Studies in honor of Eric M. Meyers. Edwards, Douglas (Prof), McCollough, C. Thomas (Prof), 2007, p. 206, Fig. 1:SP9 *** Adler. 2011. The Archaeology of Purity: Archaeological Evidence for the Observance of Ritual Purity in Erez-Israel from the Hasmonean Period until the End of the Talmudic Era (164 BCE â 400 CE). BIU: Bar-Ilan University, p. 322 no. 59",10/01/17 02:21
Sheikh Nashi,1,Israel,Survey,Unknown,,,,,,,"*** Tepper, Daryn, Tepper. 2000. Nahal 'Amud Region: Chapters on the Settlement History (Hebrew)., p. 45 *** Adler. 2011. The Archaeology of Purity: Archaeological Evidence for the Observance of Ritual Purity in Erez-Israel from the Hasmonean Period until the End of the Talmudic Era (164 BCE â 400 CE). BIU: Bar-Ilan University, p. 321 no. 17",10/01/17 02:21
Tel Yin'am,n.a.,Israel,Excavation,Unknown,4,3,2,,,,"*** Liebowitz, Folk. 1980. Archeological Geology of Tel Yin'am, Galilee, Israel, Journal of Field Archaeology 7, 23-42., p. 36 *** Liebowitz. 1981. Excavations at Tel Yin'am: The 1976 and 1977 Seasons: Preliminary Report, Bulletin of the American Schools of Oriental Research 243, 79-94., p. 89-91, Fig. 8 *** Amit, Adler. The Observance of Ritual Purity after 70 C.E. A Reevaluation of the Evidence in Light of Recent Archaeological Discoveries, in: ""Follow the Wise"": Studies in Jewish History and Culture in Honor of Lee I. Levine. Weiss, Zeev (Prof), Irshai, Oded (Prof), Magness, Jodi (Prof), Schwartz, Seth (Prof), 2010, p. 131 n. 29 *** Adler. 2011. The Archaeology of Purity: Archaeological Evidence for the Observance of Ritual Purity in Erez-Israel from the Hasmonean Period until the End of the Talmudic Era (164 BCE â 400 CE). BIU: Bar-Ilan University, p. 323 no. 87",10/01/17 02:21
Tiberias,1,Israel,Excavation,Domestic.Uncertain,,,,,,,"*** Hirschfeld. 1992. A Guide to Antiquity Sites in Tiberias., p. 36 *** Hirschfeld. Tiberias, in: New Encyclopedia of Archaeological Excavations in the Holy Land. Stern, Ephraim (Prof), 1993, p. 1470 *** Stepansky. Tiberias, in: New Encyclopedia of Archaeological Excavations in the Holy Land, Vol. 5 Supplementary Volume. Stern, Ephraim (Prof), 2008, p. 2049, 2051 *** Amit, Adler. The Observance of Ritual Purity after 70 C.E. A Reevaluation of the Evidence in Light of Recent Archaeological Discoveries, in: ""Follow the Wise"": Studies in Jewish History and Culture in Honor of Lee I. Levine. Weiss, Zeev (Prof), Irshai, Oded (Prof), Magness, Jodi (Prof), Schwartz, Seth (Prof), 2010, p. 131 n. 29 *** Adler. 2011. The Archaeology of Purity: Archaeological Evidence for the Observance of Ritual Purity in Erez-Israel from the Hasmonean Period until the End of the Talmudic Era (164 BCE â 400 CE). BIU: Bar-Ilan University, p. 321 no. 37",10/01/17 02:21
Tiberias,2,Israel,Excavation,Unknown,3,4.4,1.5,,,,"*** Hirschfeld. 2004. Excavations at Tiberias, 1989-1994., p. 9-11, 31-33 (Amir), 58 no. 10 (Milstein), 221 *** Amit, Adler. The Observance of Ritual Purity after 70 C.E. A Reevaluation of the Evidence in Light of Recent Archaeological Discoveries, in: ""Follow the Wise"": Studies in Jewish History and Culture in Honor of Lee I. Levine. Weiss, Zeev (Prof), Irshai, Oded (Prof), Magness, Jodi (Prof), Schwartz, Seth (Prof), 2010, p. 131 n. 29",10/01/17 02:21
Yafi'a,n.a.,Israel,Excavation,Cave,,,,,,,"*** Abu 'Uqsa. 2000. Yafia', Excavations and Surveys in Israel 20, 24*-25*., p. *** Adler. 2011. The Archaeology of Purity: Archaeological Evidence for the Observance of Ritual Purity in Erez-Israel from the Hasmonean Period until the End of the Talmudic Era (164 BCE â 400 CE). BIU: Bar-Ilan University, p. 323 no. 96",10/01/17 02:21
Yodefat,1,Israel,Excavation,Domestic,,,,,,,"*** Adan-Bayewitz, Aviam. 1997. Iotapata, Josephus and the siege of 67: preliminary report on the 1992â94 seasons, Journal of Roman Archaeology 10, 131-165., p. 148-51, Fig. 21 *** Adler. 2011. The Archaeology of Purity: Archaeological Evidence for the Observance of Ritual Purity in Erez-Israel from the Hasmonean Period until the End of the Talmudic Era (164 BCE â 400 CE). BIU: Bar-Ilan University, p. 321 no. 20",10/01/17 02:21
Yodefat,2,Israel,Excavation,Domestic,,,,,,,"*** Adler. 2011. The Archaeology of Purity: Archaeological Evidence for the Observance of Ritual Purity in Erez-Israel from the Hasmonean Period until the End of the Talmudic Era (164 BCE â 400 CE). BIU: Bar-Ilan University, p. 321 no. 19 *** Adan-Bayewitz, Aviam. 1997. Iotapata, Josephus and the siege of 67: preliminary report on the 1992â94 seasons, Journal of Roman Archaeology 10, 131-165., p. 151, Fig. 22 *** Adan-Bayewitz, Aviam, Edwards. 1995. Yodefat, 1992, Israel Exploration Journal 45, 191-197., p. 195",10/01/17 02:21
Zarzir,n.a.,Israel,Unknown,Unknown,,,,,,,"*** Adler. 2011. The Archaeology of Purity: Archaeological Evidence for the Observance of Ritual Purity in Erez-Israel from the Hasmonean Period until the End of the Talmudic Era (164 BCE â 400 CE). BIU: Bar-Ilan University, p. 323 no. 83",10/01/17 02:21
